Epoch,Train Loss,Test Loss,RMSE
1,0.03784841813518965,0.030076205362677928,0.17342492716641955
2,0.02889723643319442,0.028045702007971515,0.16746851049666475
3,0.027502159669287835,0.02743274592167596,0.16562833671107116
4,0.026783475880094595,0.026455416934828096,0.16265121252185025
5,0.026298421227672043,0.026108548628300855,0.16158139938836047
6,0.02595716301231768,0.026071365953796687,0.16146629974640742
7,0.02576477217609193,0.025747097960287037,0.1604590226826994
8,0.025557316645968827,0.025548138170322754,0.1598378496174256
9,0.025360881420181634,0.025233021062518044,0.15884905118545103
10,0.025244380329822826,0.025142112022367484,0.15856264384263868
11,0.025125498548402733,0.02513151197694558,0.1585292149004264
12,0.025023558385348033,0.024985655034532553,0.15806851373544498
13,0.024954870675468203,0.025121158054120594,0.15849655533834353
14,0.024880180868701935,0.025012692159295042,0.1581540140473679
15,0.02481373977429309,0.0259388440914538,0.1610554068991594
16,0.024774449657895155,0.025407791754787315,0.15939821753955505
17,0.024808367582266237,0.024643190405794213,0.15698149701730524
18,0.024660093327151196,0.024521148815863505,0.1565923012662612
19,0.024612440212916753,0.024665021637114187,0.1570510160333711
20,0.024565489952037552,0.024769600813500343,0.15738361037128468
21,0.024689721968340805,0.024607309797149,0.15686717246495202
22,0.025688127429635534,0.025232073617072713,0.1588460689380531
23,0.024830056629141683,0.02504810303807759,0.1582659250694147
24,0.02465321177864647,0.02458418721239035,0.15679345398450265
25,0.023891091082208,0.024001365049374876,0.154923739463566
26,0.025053817226112066,0.025366042237242488,0.15926720389723206
27,0.024481354031479677,0.024318208487842722,0.1559429654965004
28,0.023965079972071195,0.0240972124361621,0.15523276856437915
29,0.02383711226274634,0.024039462962585433,0.15504664769863757
30,0.02378869572442756,0.02373793858639383,0.15407121271150503
31,0.02371272008803694,0.02383508385945757,0.15438615177358872
32,0.023665998805505382,0.023798145551490922,0.15426647578618927
33,0.023625711448555367,0.023891201731677823,0.15456779008473215
34,0.023597728115462648,0.026009214551226897,0.16127372554519503
35,0.025154891826217142,0.02416311305918863,0.15544488752991728
36,0.02402883613231028,0.024096248086690954,0.1552296623931488
37,0.023440233035618697,0.023500245847073237,0.1532978990301995
38,0.023316144414428478,0.023440723004174553,0.15310363484964867
39,0.02325821649974063,0.02344613246542012,0.15312129984238027
40,0.023219578723956552,0.02332692029142216,0.15273153011550092
41,0.023183514932253416,0.023411234913781668,0.15300730346549365
42,0.0231607830919398,0.0233899758473069,0.15293781692997616
43,0.02313717761350975,0.023312156065754028,0.15268318854986632
44,0.02311249764222808,0.023292226506704726,0.15261791017670479
45,0.02309119254814547,0.023275067269291745,0.15256168348996332
46,0.023074127368363676,0.023314114582019665,0.1526896020756478
47,0.02305752203865715,0.023329762869668324,0.15274083563234922
48,0.023038778345082025,0.023199237107462543,0.15231295777924655
49,0.02302700829516106,0.02326605033715912,0.15253212886850795
50,0.023012393780487726,0.02316867123115094,0.15221258565293128
51,0.02299814597723651,0.02324608783821884,0.1524666777962281
52,0.022985861303510588,0.023225508057712882,0.15239917341545156
53,0.022970065255201295,0.023102171601672022,0.1519939854128183
54,0.022964382142317295,0.023084032334287508,0.15193430269128663
55,0.022948354019891218,0.023180767925687972,0.15225231665130082
56,0.02293641640893142,0.02314080329227873,0.15212101528808808
57,0.022928474924178505,0.02312510390631746,0.15206940489893903
58,0.02291803692067583,0.02315779108580653,0.15217684148978297
59,0.022905463584544372,0.02307680299948988,0.15191050983881885
60,0.02289546508835127,0.02310273689718424,0.15199584499973753
61,0.022886521450033465,0.02304134784348779,0.15179376747247494
62,0.022877567122765785,0.023064154198045205,0.15186887172177585
63,0.0228680367380398,0.023063892843555464,0.15186801125831426
64,0.022863982334490603,0.023030763658893567,0.15175889976832846
65,0.0228526120033232,0.023014930458947834,0.15170672516058026
66,0.02284131459441729,0.023030691244852627,0.1517586611856227
67,0.022837264571124123,0.02321145285204212,0.15235305330725119
68,0.022825375687916837,0.023047634131673354,0.15181447273456294
69,0.02281912160147457,0.023016261548500554,0.15171111214575073
70,0.022814186209881456,0.02304404871132466,0.1518026637161702
71,0.02280509725533625,0.023018380162006427,0.15171809437903716
72,0.022592094413629776,0.022780733560260908,0.15093287766507638
73,0.022579080798679384,0.022802830833553885,0.15100606224106994
74,0.0225718972985382,0.02275367599898408,0.15084321661574338
75,0.022562052643292942,0.022792151677426962,0.15097069807557678
76,0.02255563819317061,0.02280362350883568,0.15100868686547697
77,0.022553358248491417,0.022774654835028017,0.1509127391409619
78,0.022547919066755504,0.02274398118497222,0.1508110777926218
79,0.022542822554304048,0.022766467666780216,0.15088561119861701
80,0.022538159407644472,0.02276592819683668,0.1508838235094693
81,0.022533125042853756,0.022780324718019607,0.15093152327469436
82,0.022523230717814716,0.022828050705510458,0.15108954532167493
83,0.022521547544605464,0.022757697199424238,0.15085654509972127
84,0.02252065128770757,0.022762314749963104,0.15087184876564316
85,0.022402043753386888,0.022635464909353517,0.15045087207907276
86,0.022398087925259096,0.02263750338672053,0.15045764648804172
87,0.022391586372018456,0.022638792116886585,0.1504619291278913
88,0.022388847123108246,0.02262918720242595,0.1504300076528149
89,0.0223840785019365,0.022605649886760833,0.15035175385329175
90,0.02238266639191943,0.022619721327019966,0.15039854163860752
91,0.022380217744492312,0.02264132650252324,0.1504703509084871
92,0.022376593897370255,0.022610625783161527,0.1503683004597762
93,0.022372898120719714,0.022604522470728437,0.1503480045452165
94,0.022373641586983708,0.022598828711029344,0.1503290680840846
95,0.0223651783480836,0.02260900295397002,0.15036290418174963
